sample_index,file_path,true_label,pred_label,prob_yes,wrong_confidence,distance_to_threshold
5,F:\data\newdata\test\no\00044.txt,no,yes,0.5928670763969421,0.5928670763969421,0.09286707639694214
33,F:\data\newdata\test\no\00188.txt,no,yes,0.8033251762390137,0.8033251762390137,0.30332517623901367
36,F:\data\newdata\test\no\00217.txt,no,yes,0.9938828945159912,0.9938828945159912,0.4938828945159912
37,F:\data\newdata\test\no\00226.txt,no,yes,0.7988153100013733,0.7988153100013733,0.2988153100013733
38,F:\data\newdata\test\no\00227.txt,no,yes,0.9504320025444031,0.9504320025444031,0.4504320025444031
39,F:\data\newdata\test\no\00228.txt,no,yes,0.8720105290412903,0.8720105290412903,0.3720105290412903
65,F:\data\newdata\test\no\00334.txt,no,yes,0.5053054094314575,0.5053054094314575,0.0053054094314575195
77,F:\data\newdata\test\no\00392.txt,no,yes,0.8120487332344055,0.8120487332344055,0.3120487332344055
104,F:\data\newdata\test\yes\00019.txt,yes,no,0.3268648386001587,0.6731351613998413,0.1731351613998413
132,F:\data\newdata\test\yes\00151.txt,yes,no,0.48375433683395386,0.5162456631660461,0.016245663166046143
133,F:\data\newdata\test\yes\00155.txt,yes,no,0.05730495974421501,0.9426950216293335,0.4426950514316559
134,F:\data\newdata\test\yes\00159.txt,yes,no,0.19797813892364502,0.802021861076355,0.302021861076355
147,F:\data\newdata\test\yes\00217.txt,yes,no,0.2666276693344116,0.7333723306655884,0.23337233066558838
149,F:\data\newdata\test\yes\00239.txt,yes,no,0.27089017629623413,0.7291098237037659,0.22910982370376587
168,F:\data\newdata\test\yes\00367.txt,yes,no,0.0265855360776186,0.9734144806861877,0.47341445088386536
171,F:\data\newdata\test\yes\00375.txt,yes,no,0.32856807112693787,0.6714318990707397,0.17143192887306213
181,F:\data\newdata\test\yes\00412.txt,yes,no,0.28533607721328735,0.7146639227867126,0.21466392278671265
193,F:\data\newdata\test\yes\00463.txt,yes,no,0.40035906434059143,0.599640965461731,0.09964093565940857
